village_code,county_chinese_name,township_chinese_name,village_chinese_name,village_english_name,county_id,county_code,township_id,township_code,note,township_english_name,restaurant_count
63000080031,臺北市,文山區,樟新里,Zhangxin Vil.,A,63000,A11,63000080,,Wenshan District,0
63000080037,臺北市,文山區,老泉里,Laoquan Vil.,A,63000,A11,63000080,,Wenshan District,16
63000080032,臺北市,文山區,樟腳里,Zhangjiao Vil.,A,63000,A11,63000080,,Wenshan District,2
63000080041,臺北市,文山區,樟文里,Zhangwen Vil.,A,63000,A11,63000080,,Wenshan District,3
63000080043,臺北市,文山區,樟樹里,Zhangshu Vil.,A,63000,A11,63000080,,Wenshan District,1
63000080029,臺北市,文山區,順興里,Shunxing Vil.,A,63000,A11,63000080,,Wenshan District,2
63000080036,臺北市,文山區,指南里,Zhinan Vil.,A,63000,A11,63000080,,Wenshan District,30
63000080030,臺北市,文山區,樟林里,Zhanglin Vil.,A,63000,A11,63000080,,Wenshan District,2
63000080038,臺北市,文山區,忠順里,Zhongshun Vil.,A,63000,A11,63000080,,Wenshan District,2
63000080023,臺北市,文山區,試院里,Shiyuan Vil.,A,63000,A11,63000080,,Wenshan District,5
63000080028,臺北市,文山區,木新里,Muxin Vil.,A,63000,A11,63000080,,Wenshan District,0
63000080025,臺北市,文山區,明義里,Mingyi Vil.,A,63000,A11,63000080,,Wenshan District,3
63000080001,臺北市,文山區,景行里,Jingxing Vil.,A,63000,A11,63000080,,Wenshan District,4
63000080024,臺北市,文山區,華興里,Huaxing Vil.,A,63000,A11,63000080,,Wenshan District,7
63000080026,臺北市,文山區,明興里,Mingxing Vil.,A,63000,A11,63000080,,Wenshan District,2
63000080003,臺北市,文山區,景美里,Jingmei Vil.,A,63000,A11,63000080,,Wenshan District,2
63000080027,臺北市,文山區,木柵里,Muzha Vil.,A,63000,A11,63000080,,Wenshan District,4
63000080002,臺北市,文山區,景東里,Jingdong Vil.,A,63000,A11,63000080,,Wenshan District,4
63000080015,臺北市,文山區,興家里,Xingjia Vil.,A,63000,A11,63000080,,Wenshan District,1
63000080040,臺北市,文山區,政大里,Zhengda Vil.,A,63000,A11,63000080,,Wenshan District,7
63000080004,臺北市,文山區,景慶里,Jingqing Vil.,A,63000,A11,63000080,,Wenshan District,4
63000080006,臺北市,文山區,景華里,Jinghua Vil.,A,63000,A11,63000080,,Wenshan District,4
63000080019,臺北市,文山區,興福里,Xingfu Vil.,A,63000,A11,63000080,,Wenshan District,1
63000080005,臺北市,文山區,景仁里,Jingren Vil.,A,63000,A11,63000080,,Wenshan District,5
63000080016,臺北市,文山區,興得里,Xingde Vil.,A,63000,A11,63000080,,Wenshan District,10
63000080018,臺北市,文山區,興安里,Xing'an Vil.,A,63000,A11,63000080,,Wenshan District,3
63000080017,臺北市,文山區,興業里,Xingye Vil.,A,63000,A11,63000080,,Wenshan District,1
63000080007,臺北市,文山區,萬有里,Wanyou Vil.,A,63000,A11,63000080,,Wenshan District,4
63000080014,臺北市,文山區,興光里,Xingguang Vil.,A,63000,A11,63000080,,Wenshan District,8
63000080009,臺北市,文山區,萬隆里,Wanlong Vil.,A,63000,A11,63000080,,Wenshan District,6
63000080033,臺北市,文山區,萬芳里,Wanfang Vil.,A,63000,A11,63000080,,Wenshan District,3
63000080013,臺北市,文山區,興豐里,Xingfeng Vil.,A,63000,A11,63000080,,Wenshan District,2
63000080008,臺北市,文山區,萬祥里,Wanxiang Vil.,A,63000,A11,63000080,,Wenshan District,5
63000080035,臺北市,文山區,萬興里,Wanxing Vil.,A,63000,A11,63000080,,Wenshan District,14
63000080042,臺北市,文山區,興邦里,Xingbang Vil.,A,63000,A11,63000080,,Wenshan District,4
63000080011,臺北市,文山區,萬和里,Wanhe Vil.,A,63000,A11,63000080,,Wenshan District,7
63000080039,臺北市,文山區,萬美里,Wanmei Vil.,A,63000,A11,63000080,,Wenshan District,14
63000080012,臺北市,文山區,萬盛里,Wancheng Vil.,A,63000,A11,63000080,,Wenshan District,5
63000080020,臺北市,文山區,興旺里,Xingwang Vil.,A,63000,A11,63000080,,Wenshan District,8
63000080010,臺北市,文山區,萬年里,Wannian Vil.,A,63000,A11,63000080,,Wenshan District,11
63000080021,臺北市,文山區,興泰里,Xingtai Vil.,A,63000,A11,63000080,,Wenshan District,13
63000080022,臺北市,文山區,興昌里,Xingchang Vil.,A,63000,A11,63000080,,Wenshan District,14
63000050001,臺北市,中正區,水源里,Shuiyuan Vil.,A,63000,A03,63000050,,Zhongzheng District,8
63000080034,臺北市,文山區,博嘉里,Bojia Vil.,A,63000,A11,63000080,,Wenshan District,33
63000050002,臺北市,中正區,富水里,Fushui Vil.,A,63000,A03,63000050,,Zhongzheng District,11
63000050003,臺北市,中正區,文盛里,Wencheng Vil.,A,63000,A03,63000050,,Zhongzheng District,9
63000020041,臺北市,信義區,黎安里,Li'an Vil.,A,63000,A17,63000020,,Xinyi District,18
63000030046,臺北市,大安區,黎元里,Liyuan Vil.,A,63000,A02,63000030,,Da'an District,9
63000030048,臺北市,大安區,黎和里,Lihe Vil.,A,63000,A02,63000030,,Da'an District,17
63000050004,臺北市,中正區,林興里,Linxing Vil.,A,63000,A03,63000050,,Zhongzheng District,17
63000070029,臺北市,萬華區,榮德里,Rongde Vil.,A,63000,A05,63000070,,Wanhua District,4
63000070032,臺北市,萬華區,華中里,Huazhong Vil.,A,63000,A05,63000070,,Wanhua District,12
63000070031,臺北市,萬華區,興德里,Xingde Vil.,A,63000,A05,63000070,,Wanhua District,16
